epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0106,3.63616,5.39134,3.94115,0.00458,0.05274,0.00288,0.00087,2.61539,4.60097,3.22004,7.91403e-05,7.91403e-05,7.91403e-05
2,135.059,2.35602,4.15354,2.79061,0.08979,0.12148,0.05083,0.02664,1.67708,2.98049,2.0842,0.000153244,0.000153244,0.000153244
3,199.34,1.73003,3.16863,2.11221,0.15762,0.33224,0.16851,0.10278,1.39766,2.43433,1.82186,0.000222112,0.000222112,0.000222112
4,261.622,1.54287,2.77815,1.88461,0.35802,0.43249,0.34649,0.20726,1.33332,1.98336,1.73084,0.000214438,0.000214438,0.000214438
5,323.734,1.46028,2.49075,1.77368,0.45246,0.54202,0.50106,0.32596,1.21229,1.64421,1.59736,0.000206584,0.000206584,0.000206584
6,386.454,1.40139,2.27243,1.69517,0.50519,0.62563,0.58686,0.38986,1.18466,1.45784,1.5534,0.00019873,0.00019873,0.00019873
7,449.835,1.36329,2.10224,1.64514,0.62247,0.67516,0.69225,0.47032,1.13687,1.27886,1.51311,0.000190876,0.000190876,0.000190876
8,513.296,1.32217,1.98386,1.60589,0.70303,0.69191,0.74196,0.50201,1.12663,1.19004,1.49033,0.000183022,0.000183022,0.000183022
9,576.293,1.30054,1.86154,1.5702,0.71495,0.73001,0.78579,0.54386,1.09766,1.08373,1.45714,0.000175168,0.000175168,0.000175168
10,639.063,1.27794,1.7832,1.54824,0.77062,0.73387,0.80439,0.54547,1.11544,1.04168,1.44337,0.000167314,0.000167314,0.000167314
11,702.148,1.25453,1.68912,1.52173,0.77639,0.77425,0.84033,0.58947,1.04804,0.94758,1.39435,0.00015946,0.00015946,0.00015946
12,765.301,1.23543,1.62391,1.49631,0.81565,0.79033,0.85744,0.59958,1.05735,0.91524,1.39142,0.000151606,0.000151606,0.000151606
13,828.676,1.22098,1.57166,1.47975,0.80774,0.82288,0.87541,0.61874,1.03668,0.85443,1.37686,0.000143752,0.000143752,0.000143752
14,891.776,1.20036,1.5216,1.46284,0.8323,0.82585,0.89291,0.62987,1.03337,0.83458,1.36699,0.000135898,0.000135898,0.000135898
15,954.437,1.18936,1.48185,1.44888,0.8549,0.83568,0.90227,0.64266,1.02993,0.8003,1.34782,0.000128044,0.000128044,0.000128044
16,1017.17,1.17902,1.44131,1.43585,0.8827,0.83923,0.91023,0.6535,1.00645,0.77495,1.33286,0.00012019,0.00012019,0.00012019
17,1079.9,1.16769,1.41343,1.42476,0.89195,0.84461,0.92164,0.66558,0.99334,0.75573,1.3232,0.000112336,0.000112336,0.000112336
18,1143.12,1.15725,1.3714,1.40846,0.88593,0.86286,0.92189,0.66507,0.99561,0.73902,1.3161,0.000104482,0.000104482,0.000104482
19,1206.25,1.15616,1.35887,1.40859,0.89808,0.8704,0.93165,0.66898,0.99093,0.71787,1.30962,9.6628e-05,9.6628e-05,9.6628e-05
20,1268.96,1.14128,1.33658,1.3944,0.90686,0.86669,0.93774,0.6802,0.9834,0.70742,1.30233,8.8774e-05,8.8774e-05,8.8774e-05
21,1361.84,1.03726,0.91331,1.34086,0.8941,0.89199,0.94351,0.69652,0.95055,0.67797,1.27899,8.092e-05,8.092e-05,8.092e-05
22,1422.51,1.01991,0.87023,1.32731,0.90919,0.8936,0.95076,0.70846,0.93422,0.66038,1.26273,7.3066e-05,7.3066e-05,7.3066e-05
23,1483.36,1.00755,0.84692,1.31503,0.9136,0.90999,0.9581,0.7164,0.92401,0.64298,1.25861,6.5212e-05,6.5212e-05,6.5212e-05
24,1544.23,1.00032,0.82153,1.30565,0.91786,0.91181,0.95983,0.72069,0.91784,0.62762,1.24931,5.7358e-05,5.7358e-05,5.7358e-05
25,1605.55,0.98386,0.81063,1.29646,0.91913,0.91897,0.96303,0.72316,0.91579,0.6204,1.24742,4.9504e-05,4.9504e-05,4.9504e-05
26,1667.19,0.97632,0.79616,1.29105,0.92459,0.9208,0.96503,0.72742,0.91372,0.60991,1.23861,4.165e-05,4.165e-05,4.165e-05
27,1728.6,0.96743,0.77998,1.28233,0.92423,0.92503,0.96655,0.73225,0.90018,0.60159,1.23364,3.3796e-05,3.3796e-05,3.3796e-05
28,1789.93,0.96641,0.77527,1.28022,0.92658,0.92782,0.96719,0.73266,0.9012,0.59748,1.23291,2.5942e-05,2.5942e-05,2.5942e-05
29,1850.61,0.95652,0.76418,1.27373,0.93064,0.92896,0.96964,0.73797,0.892,0.59085,1.22678,1.8088e-05,1.8088e-05,1.8088e-05
30,1911.68,0.95101,0.76276,1.27234,0.93661,0.92904,0.97013,0.73838,0.8929,0.58802,1.22794,1.0234e-05,1.0234e-05,1.0234e-05
