epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5127,0.96563,0.76845,1.27863,0.91802,0.91805,0.96352,0.70642,0.97029,0.62553,1.26568,7.91403e-05,7.91403e-05,7.91403e-05
2,158.925,0.99453,0.7855,1.2977,0.92074,0.92351,0.96507,0.71968,0.93827,0.6152,1.25203,0.000142785,0.000142785,0.000142785
3,221.48,1.00448,0.77429,1.30247,0.93032,0.92455,0.9668,0.70335,0.99242,0.61677,1.28864,0.000190721,0.000190721,0.000190721
4,283.982,0.99584,0.75574,1.29303,0.93269,0.92358,0.96882,0.7257,0.9213,0.60057,1.2363,0.000167314,0.000167314,0.000167314
5,345.712,0.97857,0.7343,1.28101,0.93601,0.93203,0.97157,0.73461,0.90384,0.57438,1.22655,0.000143752,0.000143752,0.000143752
6,407.799,0.96791,0.71141,1.27198,0.94875,0.94136,0.97684,0.74176,0.90305,0.55582,1.22642,0.00012019,0.00012019,0.00012019
7,469.826,0.95364,0.69004,1.25926,0.95098,0.94078,0.97782,0.74404,0.89649,0.54486,1.21576,9.6628e-05,9.6628e-05,9.6628e-05
8,532.048,0.93994,0.67594,1.24712,0.9542,0.94747,0.97925,0.74571,0.88703,0.53347,1.20842,7.3066e-05,7.3066e-05,7.3066e-05
9,593.855,0.9278,0.65831,1.23906,0.9547,0.9447,0.97995,0.75566,0.86594,0.51977,1.19519,4.9504e-05,4.9504e-05,4.9504e-05
10,656.263,0.91775,0.64818,1.23341,0.96021,0.95034,0.98159,0.75546,0.86832,0.51584,1.19157,2.5942e-05,2.5942e-05,2.5942e-05
