epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9886,1.17158,0.96484,1.68137,0.92945,0.81271,0.86483,0.6511,0.99889,0.71013,1.61808,0.000665072,0.000665072,0.000665072
2,126.451,1.2221,1.02246,1.72504,0.91564,0.80759,0.85506,0.61166,1.09906,0.83596,1.74114,0.00128779,0.00128779,0.00128779
3,182.395,1.24279,1.03354,1.74539,0.9181,0.79508,0.84717,0.61338,1.0762,0.8318,1.72917,0.00186651,0.00186651,0.00186651
4,237.961,1.22779,1.03543,1.72072,0.92183,0.79249,0.84101,0.58612,1.14958,0.81332,1.79846,0.001802,0.001802,0.001802
5,293.728,1.23317,1.02493,1.71595,0.93059,0.83607,0.87066,0.64542,1.02321,0.70956,1.65874,0.001736,0.001736,0.001736
6,349.536,1.18107,0.977,1.66944,0.92555,0.82399,0.87608,0.65276,1.00129,0.66338,1.61283,0.00167,0.00167,0.00167
7,405.481,1.15844,0.94827,1.63786,0.9302,0.83939,0.88048,0.65886,0.98612,0.65291,1.59665,0.001604,0.001604,0.001604
8,460.808,1.15981,0.92684,1.63662,0.91336,0.83779,0.87632,0.65834,0.97806,0.66936,1.59736,0.001538,0.001538,0.001538
9,516.726,1.13402,0.90737,1.61183,0.91895,0.83636,0.88008,0.66292,0.96518,0.65395,1.57001,0.001472,0.001472,0.001472
10,572.386,1.10168,0.88996,1.58008,0.91812,0.85764,0.88848,0.6726,0.94874,0.61364,1.53826,0.001406,0.001406,0.001406
11,627.999,1.08518,0.86321,1.55711,0.92629,0.84426,0.886,0.67728,0.94062,0.60098,1.54451,0.00134,0.00134,0.00134
12,683.548,1.07387,0.86508,1.55934,0.9336,0.85548,0.89509,0.6864,0.92331,0.58742,1.508,0.001274,0.001274,0.001274
13,739.244,1.06914,0.84695,1.54097,0.91881,0.85289,0.89059,0.68749,0.91692,0.58334,1.50179,0.001208,0.001208,0.001208
14,795.011,1.0404,0.82065,1.52196,0.93014,0.85289,0.89475,0.69446,0.89098,0.57772,1.46383,0.001142,0.001142,0.001142
15,850.686,1.02424,0.80258,1.50153,0.93302,0.85634,0.89669,0.69467,0.88002,0.55941,1.49232,0.001076,0.001076,0.001076
16,905.069,1.01859,0.795,1.50332,0.92998,0.85369,0.8915,0.69937,0.8669,0.56802,1.45156,0.00101,0.00101,0.00101
17,959.394,0.99511,0.77179,1.48113,0.93353,0.84823,0.89501,0.70074,0.86867,0.55627,1.44944,0.000944,0.000944,0.000944
18,1013.78,0.99743,0.77135,1.47864,0.93931,0.85807,0.89842,0.7094,0.86162,0.54801,1.42875,0.000878,0.000878,0.000878
19,1068.16,0.98432,0.76231,1.46475,0.93074,0.85289,0.89749,0.71492,0.83611,0.54649,1.41193,0.000812,0.000812,0.000812
20,1122.57,0.97234,0.75647,1.45514,0.93598,0.85936,0.90125,0.71765,0.83659,0.53476,1.39798,0.000746,0.000746,0.000746
21,1205.95,0.85783,0.59627,1.40934,0.94615,0.85646,0.90702,0.72297,0.81795,0.52818,1.39456,0.00068,0.00068,0.00068
22,1259.69,0.84079,0.56709,1.4021,0.93483,0.86583,0.91155,0.72931,0.81687,0.5121,1.38958,0.000614,0.000614,0.000614
23,1313.36,0.82714,0.55907,1.38913,0.9432,0.86685,0.91537,0.73183,0.79437,0.50933,1.36573,0.000548,0.000548,0.000548
24,1366.96,0.80744,0.54242,1.37135,0.94429,0.86885,0.91152,0.7369,0.78901,0.50491,1.36777,0.000482,0.000482,0.000482
25,1420.57,0.78674,0.53351,1.35258,0.95436,0.85691,0.91842,0.74248,0.78064,0.48879,1.35629,0.000416,0.000416,0.000416
26,1474.19,0.77088,0.5202,1.33658,0.95065,0.86419,0.91776,0.74483,0.77476,0.48683,1.34118,0.00035,0.00035,0.00035
27,1527.83,0.76573,0.51541,1.33184,0.9608,0.85979,0.92217,0.74905,0.76211,0.47834,1.32538,0.000284,0.000284,0.000284
28,1581.27,0.74852,0.50191,1.31628,0.94949,0.8678,0.92107,0.75445,0.75014,0.47238,1.31692,0.000218,0.000218,0.000218
29,1634.98,0.73536,0.49157,1.29951,0.94767,0.86928,0.92258,0.76,0.74248,0.46633,1.31076,0.000152,0.000152,0.000152
30,1688.46,0.72991,0.48984,1.29731,0.95215,0.86703,0.92261,0.76196,0.72581,0.45898,1.29426,8.6e-05,8.6e-05,8.6e-05
