epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4795,1.34553,0.73423,1.49981,0.95402,0.88854,0.92469,0.60174,1.25564,0.60071,1.51881,0.000665158,0.000665158,0.000665158
2,128.606,1.28046,0.66393,1.43056,0.95566,0.89066,0.93395,0.61688,1.23569,0.59729,1.52176,0.00124392,0.00124392,0.00124392
3,188.421,1.2649,0.66137,1.42864,0.96376,0.8965,0.93514,0.61844,1.21625,0.59123,1.50039,0.00173469,0.00173469,0.00173469
4,247.666,1.24811,0.64499,1.40268,0.96831,0.89077,0.93734,0.62955,1.20676,0.59911,1.48923,0.001604,0.001604,0.001604
5,306.839,1.22382,0.62499,1.38968,0.94727,0.90029,0.93463,0.6211,1.19603,0.58943,1.49351,0.001472,0.001472,0.001472
6,394.501,1.19222,0.57288,1.42886,0.9733,0.89932,0.94168,0.63319,1.17661,0.58891,1.48218,0.00134,0.00134,0.00134
7,450.805,1.17982,0.56476,1.41826,0.97172,0.9079,0.94275,0.63398,1.20745,0.54642,1.46587,0.001208,0.001208,0.001208
8,507.038,1.16395,0.54592,1.39517,0.98037,0.90342,0.94834,0.64787,1.17295,0.54336,1.45205,0.001076,0.001076,0.001076
9,563.164,1.1468,0.528,1.38765,0.97184,0.89625,0.94417,0.64664,1.17825,0.53825,1.44971,0.000944,0.000944,0.000944
10,619.249,1.12902,0.50951,1.36902,0.97371,0.9139,0.95144,0.65382,1.16258,0.51642,1.43414,0.000812,0.000812,0.000812
11,675.347,1.1223,0.50143,1.36628,0.97109,0.91526,0.94885,0.65746,1.15394,0.50849,1.43351,0.00068,0.00068,0.00068
12,731.601,1.10506,0.48787,1.35274,0.98335,0.91572,0.95396,0.67156,1.11659,0.49296,1.40204,0.000548,0.000548,0.000548
13,788.07,1.0872,0.47025,1.34208,0.97682,0.91617,0.95287,0.66626,1.13348,0.47913,1.40602,0.000416,0.000416,0.000416
14,844.703,1.07497,0.46282,1.3254,0.98469,0.92574,0.95459,0.67202,1.10845,0.47185,1.39284,0.000284,0.000284,0.000284
15,901.057,1.06361,0.45163,1.32116,0.98602,0.92437,0.95723,0.67894,1.09635,0.46483,1.38129,0.000152,0.000152,0.000152
